sname:故宫	sid:6208c401f1153f0fd41f74fe	surl:gugong
sname:颐和园	sid:68c27ae3b9d414ff762fddfe	surl:yiheyuan
sname:八达岭长城	sid:305a80992b074d001b3171fe	surl:badalingchangcheng
sname:天安门	sid:86100066d60419efc7170dfe	surl:tiananmen
sname:后海	sid:b92e706693d2d06f5707d5c1	surl:houhai
sname:圆明园	sid:4818309ea171641493d817fe	surl:yuanmingyuan
sname:天坛	sid:820a4d001b3184b2b2b67ffe	surl:tiantan
sname:鸟巢	sid:b03c84b2b2b69a056d077dfe	surl:niaochao
sname:798艺术区	sid:87fc7fe4381b2120f8cc1efe	surl:798yishuqu
sname:北海公园	sid:55183f0fd41f9757809972fe	surl:beihaigongyuan
sname:天安门广场	sid:34086d0754c85f19f47778fe	surl:tiananmenguangchang
sname:南锣鼓巷	sid:1c49ec5be32fd14cfbe36dfe	surl:nanluoguxiang
sname:世界公园	sid:75265f52dec9c3f9db7dfefd	surl:shijiegongyuan
sname:香山	sid:7212975780992b074d0070fe	surl:xiangshan
sname:恭王府	sid:7c61b820db6e97289b7ef8fd	surl:gongwangfu
sname:北京动物园	sid:ab4914443489a744ec5b6efe	surl:beijingdongwuyuan
sname:北京大学	sid:c7e2c717ac2d3cbf375708fe	surl:beijingdaxue
sname:清华大学	sid:0b0919efc717ac2d3cbf0bfe	surl:qinghuadaxue
sname:三里屯	sid:51c63e2b6dde39224b57e2fd	surl:sanlitun
sname:北京欢乐谷	sid:3820e74f2ebeee381df465fe	surl:huanlegu
sname:王府井	sid:972edb6e97289b7e6b22f9fd	surl:wangfujing
sname:雍和宫	sid:fa013f154ff17fe4381b10fe	surl:yonghegong
sname:中国科学技术馆	sid:da6b6bc57594baeb76b3bcfd	surl:zhongguokexuejishuguan
sname:北京海洋馆	sid:de17f68184d01a1d89d245fd	surl:beijinghaiyangguan
sname:国家博物馆	sid:f6167498603a75a3a4c7c5fd	surl:guojiabowuguan
sname:景山公园	sid:56d53c0c3f154ff17fe413fe	surl:jingshangongyuan
sname:水立方	sid:15e24c51e5187498603ac7fd	surl:shuilifang
sname:毛主席纪念堂	sid:db8104ec4c51e5187498c6fd	surl:maozhuxijiniantang
sname:奥林匹克森林公园	sid:b02a0abb6cf9c05f301acdfd	surl:aolinpikesenlingongyuan
sname:大栅栏	sid:7921cb8f04ec4c51e518d9fd	surl:dashilan
sname:龙庆峡	sid:5e5ce5187498603a75a3c4fe	surl:longqingxia
sname:明十三陵	sid:9bb3ee381df41344144463fe	surl:mingshisanling
sname:朝阳公园	sid:53422ebeee381df4134462fe	surl:chaoyanggongyuan
sname:慕田峪长城	sid:aaf9134414443489a74461fe	surl:mutianyuchangcheng
sname:人民大会堂	sid:cc1f55bf99d28a59bddd05fe	surl:renmindahuitang
sname:大观园	sid:6f41fbe30b158915309e68fe	surl:daguanyuan
sname:石景山游乐园	sid:765cdec9c3f9db7d6111fffd	surl:shijingshanyouleyuan
sname:前门	sid:b3c91261cb1fadacab24c1fd	surl:qianmen
sname:八大处	sid:dc6bd60419efc717ac2d0afe	surl:badachu
sname:军事博物馆	sid:c20013551b123dff1e40affd	surl:junshibowuguan
sname:什刹海	sid:f293a171641493d83c0c14fe	surl:shichahai
sname:国家大剧院	sid:974b40351f1255bf99d207fe	surl:guojiadajuyuan
sname:北京天文馆	sid:170d0a5c91ca872746461bfe	surl:beijingtianwenguan
sname:国子监	sid:ea2df8ccda000a5c91ca1dfe	surl:guozijian
sname:红螺寺	sid:1af2762fcb8f04ec4c51d8fe	surl:hongluosi
sname:潭柘寺	sid:bf10d1b18b0036d9222ef5fd	surl:tanzhesi
sname:十渡	sid:36eb66d6c4365b0af2c94bfe	surl:shidu
sname:凤凰岭	sid:f4c7c3f9db7d6111526ffcfd	surl:fenghuangling
sname:玉渊潭	sid:0b256dde39224b57f937e3fd	surl:yuyuantan
sname:首都博物馆	sid:f2162120f8ccda000a5c1cfe	surl:shoudubowuguan
sname:爨底下村	sid:38a3bc2c735691f256c08efd	surl:cuandixiacun
sname:北京野生动物园	sid:96e0d06f5707715ac511d3c1	surl:beijingyeshengdongwuyuan
sname:雁栖湖	sid:7922cb8f04ec4c51e518d9fe	surl:yanqihu
sname:东方普罗旺斯薰衣草庄园	sid:18daac2d3cbf3757b4f0093e	surl:dongfangpuluowangsixunyicaozhuangyuan
sname:中央电视塔	sid:ad493489a744ec5be32f6ffe	surl:zhongyangdianshita
sname:蓝调庄园	sid:bfddd1b18b0036d9222ef530	surl:landiaozhuangyuan
sname:簋街	sid:5c68bdddd1b88617eee500c2	surl:guijie
sname:西单	sid:0a6fcb1fadacab240abbcefd	surl:xidan
sname:地坛	sid:4c1f526fb820db6e9728fbfd	surl:ditan
sname:世贸天阶	sid:48c1309ea171641493d81727	surl:shimaotianjie
sname:居庸关长城	sid:de51301a4dadc1b44664c8fd	surl:juyongguanchangcheng
sname:妙峰山	sid:0acea53ec6adcd2feedc8afd	surl:miaofengshan
sname:云蒙山	sid:582f65c83e2b6dde3922e5fe	surl:yunmengshan
sname:八大胡同	sid:76d1b9d414ff762fcb8fdac1	surl:badahutong
sname:北京自然博物馆	sid:695b1b123dff1e4019c6acfd	surl:beijingziranbowuguan
sname:北京植物园	sid:f5bf8b0036d9222e5d28f2fd	surl:beijingzhiwuyuan
sname:富国海底世界	sid:c19109736a7351eeeb69a4fd	surl:fuguohaidishijie
sname:黑龙潭	sid:1edfa0f44f47a4211acb41fe	surl:beijingheilongtan
sname:京东大峡谷	sid:a6c6273681fa4653ba3e97fd	surl:jingdongdaxiagu
sname:中国美术馆	sid:6096603a75a3a4c71261c2fd	surl:zhongguomeishuguan
sname:烟袋斜街	sid:70d6330a23088cc57454b3fd	surl:yandaixiejie
sname:康西草原	sid:a6c8273681fa4653ba3e97f3	surl:kangxicaoyuan
sname:陶然亭	sid:34e85d1d0066d60419ef0cfe	surl:taoranting
sname:百花山	sid:6da3c1b446649c1ed1b1f6fd	surl:baihuashan
sname:中华民族园	sid:ae0e36d9222e5d285f52f3fd	surl:zhonghuaminzuyuan
sname:金山岭长城	sid:a02693d83c0c3f154ff112c1	surl:jinshanlingchangcheng
sname:中国航空博物馆	sid:673e340b4d19f68184d047fd	surl:zhongguohangkongbowuguan
sname:世界花卉大观园	sid:797e4ffbffdcdfcc000b99b6	surl:shijiehuahuidaguanyuan
sname:怀柔	sid:b3e81261cb1fadacab24c1dc	surl:huairou
sname:青龙峡	sid:5056e32fd14cfbe30b156afe	surl:huairouqinglongxia
sname:中央电视台	sid:51193e2b6dde39224b57e222	surl:zhongyangdianshitai
sname:中国电影博物馆	sid:44068cc57454b0656bc5b1fd	surl:zhongguodianyingbowuguan
sname:十三陵水库	sid:3eb775ed2e699613cd1724c1	surl:shisanlingshuiku
sname:人民英雄纪念碑	sid:63ada4c71261cb1fadacc0fd	surl:renminyingxiongjinianbei
sname:密云水库	sid:e07746649c1ed1b18b00f730	surl:miyunshuiku
sname:紫竹院	sid:0e2c4b57f9374db66f54e1fd	surl:zizhuyuan
sname:前门大街	sid:1a2a762fcb8f04ec4c51d826	surl:qianmendajie
sname:孔庙	sid:f7736111526fb820db6efafd	surl:beijingkongmiao
sname:石花洞	sid:15e14c51e5187498603ac7fe	surl:shihuadong
sname:京东石林峡	sid:f4c4c3f9db7d6111526ffcfe	surl:jingdongshilinxia
sname:太平洋海底世界博览馆	sid:f8dbc4365b0af2c9c00548fe	surl:taipingyanghaidishijiebolanguan
sname:司马台长城	sid:09b58617eee55d1d00660efe	surl:simataichangcheng
sname:大觉寺	sid:77b86f54bc9175003aadecfd	surl:dajuesi
sname:王府井步行街	sid:387abc2c735691f256c08e24	surl:wangfujingbuxingjie
sname:王府井教堂	sid:7874261257ae7e7ede1c5afd	surl:wangfujingjiaotang
sname:琉璃厂文化街	sid:ceca1efa15d8330a2308b5fd	surl:liulichangwenhuajie
sname:桃源仙谷	sid:634e19c66b17a516f1f4abfd	surl:taoyuanxiangu
sname:蟹岛度假村	sid:3acb363b4ffbffdcdfcc98b6	surl:xiedaodujiacun
sname:八达岭水关长城	sid:7c62b820db6e97289b7ef8fe	surl:badalingshuiguanchangcheng
sname:潘家园	sid:060123d1dc24b39f0973b9fd	surl:panjiayuan
sname:灵山	sid:c913e59aba1c706693d2d7c1	surl:lingshan
sname:鼓楼	sid:1febffdcdfcc000b297586e3	surl:gulou
sname:东交民巷	sid:5f3eeee55d1d0066d6040fda	surl:dongjiaominxiang
sname:太庙	sid:e522735691f256c0a53e8ffd	surl:taimiao
sname:宋庆龄故居	sid:7359f9374db66f54bc91eefd	surl:beijingsongqinglingguju
sname:京西十八潭	sid:f5bc8b0036d9222e5d28f2fe	surl:jingxishibatan
sname:京东大溶洞	sid:f6157498603a75a3a4c7c5fe	surl:jingdongdarongdong
sname:海坨山	sid:64a79c1ed1b18b0036d9f430	surl:haituoshan
sname:百望山	sid:98a3cd2feedcbaf11bc688fd	surl:baiwangshan
sname:蓝色港湾	sid:75ef5f52dec9c3f9db7dfe34	surl:lansegangwan
sname:五道营胡同	sid:7cacb820db6e97289b7ef830	surl:wudaoyinghutong
sname:西什库教堂	sid:2d06877117f5f47a26125fc4	surl:xishikujiaotang
sname:卢沟桥	sid:5c54bdddd1b88617eee500fe	surl:lugouqiao
sname:八达岭野生动物园	sid:82c24d001b3184b2b2b67f36	surl:badalingyeshengdongwuyuan
sname:明皇蜡像宫	sid:bf13d1b18b0036d9222ef5fe	surl:minghuanglaxianggong
sname:白云观	sid:5f1aeee55d1d0066d6040ffe	surl:beijingbaiyunguan
sname:奥林匹克水上公园	sid:1e7d51eeeb69e222608ca2fd	surl:beijingaolinpikeshuishanggongyuan
sname:德云社	sid:43c39b9df6dff740851f313f	surl:deyunshe
sname:月坛	sid:05205d285f52dec9c3f9f1fd	surl:yuetan
sname:龙脉温泉度假村	sid:2f174dadc1b446649c1ec9fe	surl:longmaiwenquandujiacun
sname:百里山水画廊	sid:863e2e699613cd1729d62520	surl:bailishanshuihualang
sname:清凉谷	sid:742093d2d06f5707715ad2b5	surl:qinglianggu
sname:铁道博物馆	sid:28dd2b074d001b3184b27eb7	surl:tiedaobowuguan
sname:灵水村	sid:d57eb4f00599b2be230634da	surl:lingshuicun
sname:中国地质博物馆	sid:7af415d8330a23088cc5b2fd	surl:zhongguodizhibowuguan
sname:日坛	sid:a9736b2265c83e2b6ddee4fe	surl:ritan
sname:箭扣长城	sid:1d5ab0656bc57594baebbffd	surl:jiankouchangcheng
sname:钓鱼台银杏大道	sid:5eafe5187498603a75a3c40d	surl:diaoyutaiyinxingdadao
sname:欢乐水魔方	sid:f5768b0036d9222e5d28f234	surl:huanleshuimofang
sname:海淀公园	sid:17430a5c91ca872746461bb0	surl:haidiangongyuan
sname:老舍故居	sid:5a026703cc8575ed2e6926ce	surl:laosheguju
sname:五棵松体育馆	sid:cc23463263cf7ae3b9d4dfc1	surl:wukesongtiyuguan
sname:中国科技馆新馆	sid:531dc005c401f1153f0f7727	surl:zhongguokejiguanxinguan
sname:仙栖洞	sid:6da0c1b446649c1ed1b1f6fe	surl:xianqidong
sname:卧佛寺	sid:2630e7c8273681fa465396fd	surl:wofosi
sname:云居寺	sid:b4d914ff762fcb8f04ecdbfe	surl:yunjusi
sname:中山公园	sid:6ad0d1b88617eee55d1d01fe	surl:beijingzhongshangongyuan
sname:西单大悦城	sid:b7e2d6f3c821e59aba1c2927	surl:xidandayuecheng
sname:中南海	sid:55c13f0fd41f975780997227	surl:zhongnanhai
sname:古北口长城	sid:60dd603a75a3a4c71261c2b6	surl:gubeikouchangcheng
sname:南山滑雪场	sid:ee14f4778b2de74f2ebe67fe	surl:nanshanhuaxuechang
sname:莽山森林公园	sid:735af9374db66f54bc91eefe	surl:mangshansenlingongyuan
sname:大兴	sid:ad7c3489a744ec5be32f6fcb	surl:daxing
sname:九龙游乐园	sid:488870c0c1ecdeb81cc82cb7	surl:jiulongyouleyuan
sname:中国古动物馆	sid:87b57fe4381b2120f8cc1eb7	surl:zhongguogudongwuguan
sname:永定门	sid:1d69851f3e07d8d241a13cda	surl:yongdingmen
sname:中华世纪坛	sid:18bd690f23d1dc24b39fb8fd	surl:zhonghuashijitan
